image_name,labels,transcriptions
1134.jpg,Misogyny,如果结婚是好事的话 按照我国的国情 应该托关系走后门才能结婚
901.jpg,Not-Misogyny,狠狠期待 好了嘛
683.jpg,Misogyny,为什么不生孩子？ 让男的生呗 他们不是先生嘛？
768.jpg,Not-Misogyny,搞不懂呢 你知道滴 我不过是 来自大山深处的吗喽
178.jpg,Not-Misogyny,买完同款买同款 家里可以开展览
753.jpg,Not-Misogyny,叉会腰
630.jpg,Not-Misogyny,学习人出没
87.jpg,Not-Misogyny,人间不值得
1197.jpg,Not-Misogyny,我的心态 又不会死 大不了死 死了正好
1610.jpg,Not-Misogyny,当你坚持做自己，并且家人都支持你时：
1000.jpg,Not-Misogyny,我这样说 哥哥 你女朋友不会生气吧
55.jpg,Not-Misogyny,好荒唐 像是数学题精密计算后 车上只有0.5人的那种荒唐
1278.jpg,Not-Misogyny,我是自愿打工的
222.jpg,Misogyny,不要孩子 你将来病了怎么办？ 怎么的，这孩子是药引子啊？
114.jpg,Not-Misogyny,有点想你了 不过问题不搭 看帅哥能解决的 尽量不打扰你
725.jpg,Not-Misogyny,工作使我快乐！
1679.jpg,Misogyny,跟老公加亲戚关系不好 花钱大手大脚
818.jpg,Not-Misogyny,心情很好 45°+1 previous adj.以前的 所以嘴角上扬的弧度比平时多了一度
175.jpg,Not-Misogyny,今天工作do了吗？ 微do但do的不多 没有从早到晚都在do
1201.jpg,Misogyny,见者生儿子
1329.jpg,Not-Misogyny,今天周五
19.jpg,Misogyny,操你妈 贱货
424.jpg,Not-Misogyny,万试 OK
1337.jpg,Misogyny,说我态度有问题 是因为我占理了
286.jpg,Misogyny,我为什么非要伺候一个男人呢？ 脚不洗牙不刷胡子不刮
1448.jpg,Misogyny,婚前：孩子生了我带 婚后：你生的孩子，你不带谁带
429.jpg,Not-Misogyny,别人的假期
1286.jpg,Not-Misogyny,以前 以前叫托 现在 现在叫探店
1520.jpg,Misogyny,你不结婚我们走了以后你怎么办 你们要是不放心，我就跟你们一起走
32.jpg,Not-Misogyny,打起精神来
695.jpg,Misogyny,家产都是儿子的，养老也是儿子的事情。
1245.jpg,Not-Misogyny,朕，龙颜甚悦！
215.jpg,Not-Misogyny,警惕花言巧语 致敬、独立女性
602.jpg,Not-Misogyny,如果天天上班的话 没点素质也正常吧
327.jpg,Not-Misogyny,工作do了吗？ 微do
1550.jpg,Not-Misogyny,努力奋斗中
556.jpg,Not-Misogyny,说我说话难听 你话戳他痛处 破防了
1400.jpg,Misogyny,操你妈 栽种 呆逼 nmsl
342.jpg,Misogyny,举报电话12345 捐卵代孕属于违法犯罪行为 参与者、教唆者、组织者以【组织出卖人体器官罪】【非法经营罪】论处，处以拘役、管制、有期徒刑、罚金、没收财产 拒绝代孕 女性每月排卵一次，一次仅排一个卵。代孕过程中服药强制排卵，用30cm穿刺针反复15-30次 可能导致停经，创口感染，器官感人，甚至不孕不育 卵巢癌变 死亡
148.jpg,Not-Misogyny,响
361.jpg,Misogyny,你不结婚生孩子 以后老了谁照顾 只要我S的够快，就没人能照顾我
84.jpg,Not-Misogyny,小红书
49.jpg,Not-Misogyny,不可以 原则上可以
469.jpg,Not-Misogyny,老婆老婆老婆老婆 老婆老婆老婆 做梦也爱老婆
156.jpg,Misogyny,SB 给老子死 狠
1028.jpg,Not-Misogyny,I will pass all my exams 我将通过所有的考试
1194.jpg,Not-Misogyny,不忙但是不帮你忙
1030.jpg,Not-Misogyny,我以为的假期：17:59 回家！18:00
1389.jpg,Not-Misogyny,超常发挥 +10 +10 +10
501.jpg,Not-Misogyny,你为什么不快乐？ 请填写此表 找到快乐 A因为那些坏人 B因为我自己的错 C这个世界就是这样 D快乐毫无意义 快乐表格 文件缺失或损坏，请重新登陆。如果不行，如果不行，如果不 确定
180.jpg,Misogyny,好羡慕啊操你妈的
1388.jpg,Not-Misogyny,除了干饭，皆无向往 被窝以外，皆是他乡
584.jpg,Misogyny,趁年轻 赶紧生
1512.jpg,Misogyny,老娘独美 一人吃饱全家不饿 这个婚爱谁结谁结 反正我不结
529.jpg,Misogyny,你不生孩子 人类灭绝了怎么办 恐龙也生孩子 但恐龙灭绝了
347.jpg,Not-Misogyny,老板你睡了 我还没下班
1179.jpg,Misogyny,当男朋友说 不是我pua你 你这样的除了我 还有谁会要
1664.jpg,Not-Misogyny,白天两顿减脂餐 晚上骑手已接单
889.jpg,Misogyny,乖巧/聪明 他说：和同龄人比起来，你很聪明 你应该是那种乖乖女吧？
1296.jpg,Misogyny,放不开/放得开 他说：我以为你是那种很放得开的女生呢 你怎么这么放不开
1694.jpg,Misogyny,对情绪和支持的无条件期望 你可曾听过 对家务分工的默认认知 家里卫生你来收拾一下吧，女生会比较细心 还是应该女孩子来做饭 女人就是腰在家照顾小孩 女孩子应该还做家务 你怎么一点都不体谅人，一点女生的体贴都没有 女孩子比较会安慰人，帮忙劝劝吧 你应该多体谅一下，女生就是天生要温柔些
1559.jpg,Not-Misogyny,怎么回事？一大早就努力工作 這樣會破壤规矩
244.jpg,Not-Misogyny,周五周五 摸鱼为主
1254.jpg,Not-Misogyny,感觉好累 高峰时段，Kimi算力不足，无法处理较长文本。 你可以尝试开启一个新会话，或者过段时间再来问我。 再试一次 上班真的好累 人工智能cos人类 看了我的海量资料之后 kimi终于也遭不住了 有种改稿改了二十次 最后被告知 用第一版的无力感
313.jpg,Not-Misogyny,哥哥这么久不理人家 一定很忙吧 是吧 我理解哥哥的
436.jpg,Misogyny,重视女性安全 子宫不是商品 亲爱的女宝 卵子交易是违法的！无论遭遇什么艰难困境，都不要拿自己的身体作为交换 拒绝代孕 代孕的背后是无数女性拿命还钱 你连老板的加班都没办法拒绝，凭什么觉得代孕合法后，女性有权决定自己的子宫！ 每一次加入卖卵都是在助长这个黑色产业的壮大 无形中威胁到其他女性的安全 代孕过程中强制排卵，用30cm（相当于小臂长度）穿刺针反复穿刺15-30次。可能导致停经，创口感染，器官感人，甚至不孕不育 卵巢癌变 死亡 在中国，参与者、教唆者、组织者以【组织出卖人体器官罪】【非法经营罪】论处，处以拘役、管制、有期徒刑、罚金、没收财产 如果发现请向学校反映或拨打110打击犯罪团伙。地址代孕不要让子宫成为肮脏的交易工具。
1609.jpg,Misogyny,我以为我当好“姐姐”就能得到父母的认可 但我更像无根的浮萍 毕竟我父母常说 “嫁出去的女儿 泼出去的水”
713.jpg,Not-Misogyny,谁影响我我就放弃谁 有你没你我都是我
309.jpg,Misogyny,还不准备生孩子啊
431.jpg,Not-Misogyny,你这里有点问题 但没关系 我用ps帮你修好了
371.jpg,Misogyny,一定要生男孩
567.jpg,Not-Misogyny,2025新年快乐
722.jpg,Misogyny,现在不喜欢 生了你就喜欢了！ 现在不喜欢，不生我更喜欢。
182.jpg,Misogyny,为什么不生孩子？ 不知道啊 高考又不考
1381.jpg,Not-Misogyny,早上好，我的工友
760.jpg,Not-Misogyny,我很好
1069.jpg,Not-Misogyny,我的眼泪像兰州拉面 一样滚了出来
1560.jpg,Not-Misogyny,12:00 没见过这么精神的
297.jpg,Misogyny,亲戚：你不生孩子谁还记得你 我：你太奶奶叫什么你记得吗
1696.jpg,Misogyny,以前屁股大的女生 满身肥肉 水桶腰 不仅屁股大 还腿粗 在意别人眼光
462.jpg,Not-Misogyny,谢谢姐 吃到好東西了 又幸福了
1111.jpg,Misogyny,看到女人就烦
1076.jpg,Not-Misogyny,那份如此微博的也叫薪水？
378.jpg,Not-Misogyny,生活试图把我惹毛 发现我变得毛茸茸
1023.jpg,Not-Misogyny,男朋友眼里都是我 谁家的姑娘 女朋友
127.jpg,Not-Misogyny,今天学了吗？
926.jpg,Not-Misogyny,脆弱时间到 我们一起来祷告
619.jpg,Not-Misogyny,大好青年弄到人不像人，鬼不像鬼
356.jpg,Not-Misogyny,好心态 决定女人的一生
1378.jpg,Not-Misogyny,很爱上班这种感觉 饿不死 又挣不到钱 令人着迷
210.jpg,Not-Misogyny,候车大厅虽然吵 聊聊方案也很好
141.jpg,Misogyny,论傻逼 还得是您啊
1222.jpg,Misogyny,操你妈 听清没 操你妈
1399.jpg,Not-Misogyny,筋疲力尽
1038.jpg,Not-Misogyny,我去上班了 这个钱！我赚定了
1343.jpg,Not-Misogyny,逢考必过符 题目都会做的都对 高分到手拿证无忧 考神护体
1546.jpg,Not-Misogyny,我受够了你这cheap man
1681.jpg,Not-Misogyny,福啦 倒霉的又是我
1663.jpg,Not-Misogyny,已进入人才库
638.jpg,Not-Misogyny,我可真棒
1505.jpg,Not-Misogyny,精神涣散
11.jpg,Not-Misogyny,我是輕浮 我只是 情難自控
916.jpg,Not-Misogyny,强颜欢笑
283.jpg,Not-Misogyny,我十分想喝冰可乐！！！
292.jpg,Not-Misogyny,你那份甚么工作
